id,municipality,village,county,state,region,postcode,country,hamlet,road,ISO3166-2-lvl4,elevation
3536,0,0,Борисоглебский городской округ,Воронежская область,Центральный федеральный округ,397156,Россия,0,0,RU-VOR,136
3739,Кугунурское сельское поселение,Кугунур,Балтасинский район,Татарстан,Приволжский федеральный округ,422246,Россия,0,0,RU-TA,123
1294,Дедиловское сельское поселение,0,Киреевский район,Тульская область,Центральный федеральный округ,301781,Россия,0,0,RU-TUL,250
2859,Чернышихинский сельсовет,0,Кстовский район,Нижегородская область,Приволжский федеральный округ,0,Россия,0,0,RU-NIZ,161
3685,Бяковское сельское поселение,0,Навлинский район,Брянская область,Центральный федеральный округ,0,Россия,Сычовка,0,RU-BRY,195
6443,Лешев-Тамакское сельское поселение,0,Сармановский район,Татарстан,Приволжский федеральный округ,423352,Россия,0,0,RU-TA,239
6889,0,Левенка,Стародубский муниципальный округ,Брянская область,Центральный федеральный округ,243250,Россия,0,0,RU-BRY,165
5703,Уртакульский сельсовет,0,Буздякский район,Башкортостан,Приволжский федеральный округ,0,Россия,0,0,RU-BA,237
1112,Новокырлайское сельское поселение,0,Арский район,Татарстан,Приволжский федеральный округ,422035,Россия,Пионер,0,RU-TA,167
776,Землянское сельское поселение,0,Семилукский район,Воронежская область,Центральный федеральный округ,0,Россия,0,0,RU-VOR,226
6521,Имянликулевский сельсовет,0,Чекмагушевский район,Башкортостан,Приволжский федеральный округ,0,Россия,0,0,RU-BA,142
5165,Шрамовское сельское поселение,0,Россошанский район,Воронежская область,Центральный федеральный округ,396722,Россия,0,«Воронеж — Луганск» — Шрамовка — Александровка,RU-VOR,205
2827,0,0,городской округ Алапаевское,Свердловская область,Уральский федеральный округ,0,Россия,0,0,RU-SVE,181
2306,Новодеревеньковское сельское поселение,Новая Заря,Новодеревеньковский район,Орловская область,Центральный федеральный округ,303620,Россия,0,0,RU-ORL,238
6880,Кугарчинский сельсовет,Кугарчи,Кугарчинский район,Башкортостан,Приволжский федеральный округ,453345,Россия,Семиречье,Кугарчи- Давлеткулово 1-е,RU-BA,240
3286,Домачевский сельсовет,0,Лев-Толстовский район,Липецкая область,Центральный федеральный округ,0,Россия,0,0,RU-LIP,189
1851,0,0,городской округ Кулебаки,Нижегородская область,Приволжский федеральный округ,0,Россия,0,0,RU-NIZ,97
1963,Корнеевский сельсовет,0,Мелеузовский район,Башкортостан,Приволжский федеральный округ,0,Россия,Сухаревка,Сухаревская улица,RU-BA,172
